adm3_name,adm3_pcode,adm2_name,adm1_name,area_sqkm,center_lat,center_lon,dist_agence_km,dist_datacenter_km
Abobo,TG030801,Zio,Maritime,112.23551667,6.250369,1.34884681,7.207991664357016,16.491918423587517
Adeta,TG040701,Kpele,Plateaux,202.8479946,7.0917395,0.87068211,16.028840065868565,106.36894452451236
Adetikope,TG030901,Agoe-Nyive,Maritime,44.32738121,6.320109,1.2097585,0.9358280696172477,14.116054975367996
Adiva,TG040101,Amou,Plateaux,10.53327579,7.498801,1.01820885,25.913587729525673,146.05703063319822
Adjahun Fiagbe,TG040301,Agou,Plateaux,63.20770563,6.762418,0.73506917,9.581349518762222,82.17648517431292
Adjengere,TG010301,Sotouboua,Centrale,292.11041561,8.688721,0.94175424,14.53966753861514,277.7113719250976
Adogbenou,TG041101,Anie,Plateaux,639.90896865,7.8131105,1.51940213,36.41073204789642,182.42705992879758
Adzakpa,TG040302,Agou,Plateaux,165.87885505,6.614559,0.76185626,24.8574418345024,68.22983838477882
Afagnan / Afagnagan,TG030201,Bas-Mono,Maritime,112.25715045,6.5041125,1.63203284,1.0148588371814362,57.89829312838673
Affem,TG010401,Tchamba,Centrale,163.54681059,9.122283,1.520651,16.029592305551823,325.80957741390677
Aflao Gakli,TG030301,Golfe,Maritime,11.00436195,6.19743503,1.16788385,1.3478227776949643,3.989227532604579
Agbandi,TG010101,Blitta,Centrale,241.46550143,8.2485245,1.15118722,18.65714777873591,227.50139012905782
Agbandi-Yaka,TG020501,Doufelgou,Kara,97.05857567,9.6979175,1.09987531,7.546029567305165,387.9245428924974
Agbelouve,TG030802,Zio,Maritime,452.9506497,6.725136,1.0640904,12.640514726744648,61.12828661155075
Agbodrafo,TG030401,Lacs,Maritime,81.48233086,6.2125395,1.517279,19.939535793554676,33.91222014299555
Agoenyive,TG030902,Agoe-Nyive,Maritime,46.60473308,6.2333305,1.20653894,0.543168088205487,4.550749346118393
Agome,TG041201,Kloto,Plateaux,32.44912228,6.935945,0.61289236,3.373459714678641,105.5874287269203
Agome-Tomegbe,TG041202,Kloto,Plateaux,26.77647324,6.942733,0.54629601,10.085024066107035,110.91997385888513
Agome Glozou/Agbetiko,TG030202,Bas-Mono,Maritime,72.98692102,6.501472,1.68786447,6.575494492797332,62.809512119734435
Agotime Nord,TG040303,Agou,Plateaux,213.62232711,6.707528,0.68694882,15.77062994297817,81.32960920889103
Agou-Akplolo,TG040309,Agou,Plateaux,45.41306757,6.918968,0.79349672,11.661766240735039,92.71190067199014
Agou Agbetiko/Agou Dzidjole,TG040304,Agou,Plateaux,68.62937884,6.925972,0.7341313,8.95376950651179,96.80578640761387
Agou Atigbe,TG040305,Agou,Plateaux,33.60276265,6.7901165,0.74948677,7.277257139215778,83.56333913911104
Agou Gadzepe,TG040306,Agou,Plateaux,31.93080442,6.8465325,0.70583193,1.1731724220958595,91.45373688919224
Agou Kebo,TG040307,Agou,Plateaux,18.00283718,6.8685685,0.74171738,3.675954746100209,91.06965342248583
Agou Yiboe/Kati,TG040308,Agou,Plateaux,109.95967608,6.9065205,0.87802648,19.040972430701046,87.16897910332196
Agouegan,TG030402,Lacs,Maritime,49.17277933,6.273966,1.71979261,26.49330288402416,56.96363074408382
Agoulou,TG010501,Tchaoudjo,Centrale,264.11904013,9.1922095,1.36480593,19.637196420472343,332.19712871181497
Ahassome,TG040801,Moyen-Mono,Plateaux,133.02016658,7.2086135,1.514053,23.16651151319787,117.24639112508935
Ahepe,TG030701,Yoto,Maritime,95.1523491,6.5699345,1.4236099,24.1270630341818,47.88595608109976
Ahlon,TG040401,Danyi,Plateaux,51.02680881,7.2787735,0.66391112,17.858583102592434,134.55768459416007
Akata,TG040702,Kpele,Plateaux,89.15192598,7.045233,0.71976625,9.651770420535213,108.88424230555496
Akepe,TG030101,Ave,Maritime,42.7592164,6.2306755,1.07088335,4.412752069870639,14.940140765322026
Aklakou,TG030403,Lacs,Maritime,179.99184507,6.3394925,1.71717882,19.838733718835254,58.267485835319306
Akoumape,TG030601,Vo,Maritime,123.41311181,6.433624,1.43719233,22.26238213115548,36.53399516108901
Akpare,TG040901,Ogou,Plateaux,276.34673865,7.453272,1.34743587,25.28836058250108,140.24408607288262
Akponte,TG020601,Keran,Kara,215.70366868,10.1891185,0.9066252,23.573069541570764,443.36455324964106
Aledjo,TG020101,Assoli,Kara,187.60499906,9.2799335,1.16600181,11.863983100755455,341.5240717090347
Aleheride/Amaide,TG010502,Tchaoudjo,Centrale,243.50860851,9.155504,1.15884192,17.839426878380106,327.7758468762415
Alibi,TG010402,Tchamba,Centrale,538.54306576,8.8126545,1.36419547,23.822804346292255,290.27504491632726
Aloum,TG020502,Doufelgou,Kara,164.71835904,9.77426,0.9710185,15.055277736285978,397.0747758386342
Amou-Oblo,TG040102,Amou,Plateaux,150.74019863,7.3613215,0.8649412,29.3510586546896,134.84418367808533
Amoussime,TG030702,Yoto,Maritime,39.49807428,6.6378225,1.51043821,20.457550200973067,59.321639207837364
Amoussou Kope,TG040310,Agou,Plateaux,137.50501514,6.661579,0.84432609,24.706218820604274,65.89981158039889
Amoutive,TG030302,Golfe,Maritime,23.598666,6.2187695,1.26591183,4.289111883598208,6.685463866222843
Aneho,TG030404,Lacs,Maritime,17.39448502,6.238067,1.60710534,28.572537489805004,44.06821564341081
Anfoin,TG030405,Lacs,Maritime,25.37745704,6.340102,1.61107313,17.300159248666596,47.13106945521577
Anie,TG041102,Anie,Plateaux,241.98242515,7.7804875,1.15344413,4.673943922910366,175.75289701594775
Anyron Kope,TG030602,Vo,Maritime,32.32379531,6.259088,1.55343911,25.391701229827238,38.54973505731816
Aouda,TG010302,Sotouboua,Centrale,785.11560193,8.8622735,0.85838223,33.83478759722513,297.8763670117731
Assahoun/Ando Peme,TG030102,Ave,Maritime,377.66242577,6.4986765,0.85115802,8.854751225292407,52.31893871888584
Assrama,TG040601,Haho,Plateaux,618.2469279,6.9901975,1.45830479,17.124913078564024,92.34507254095878
Atalote,TG020602,Keran,Kara,287.75125566,9.947946,0.8867311,17.877847822859774,416.9521444379585
Atchangbade,TG020701,Kozah,Kara,152.07051824,9.473733,1.10936741,11.866662404651974,363.10447787334726
Atchinedji,TG041103,Anie,Plateaux,411.05115216,7.579525,1.38843077,29.331057348808102,154.6399155551483
Atchintse,TG010102,Blitta,Centrale,176.96687904,7.9794325,0.66583934,54.862162825459805,206.66070157011288
Atsave,TG040602,Haho,Plateaux,305.8034716,6.8737715,1.31155966,17.850057220308432,76.15500429094614
Attitogon,TG030203,Bas-Mono,Maritime,68.97885036,6.4102385,1.64853773,9.686137641311396,54.01980354711893
Avedje,TG040103,Amou,Plateaux,39.13009357,7.421693,1.12995886,12.336601706793555,136.25094026641528
Awandjelo,TG020702,Kozah,Kara,115.51089427,9.474899,1.19187122,7.967904415570173,363.05692465958043
Badin,TG040501,Est-Mono,Plateaux,495.51673394,8.2542835,1.54327141,54.68829090466962,230.94261084240065
Badja,TG030103,Ave,Maritime,173.55284604,6.3763795,1.01826737,12.150918774122324,29.514108307616038
Badou,TG040201,Wawa,Plateaux,99.67972411,7.5633725,0.57635075,50.69784157714696,167.11631209815857
Bafilo,TG020102,Assoli,Kara,155.73833688,9.3669465,1.26114582,2.359231659004913,351.1456895065633
Baga,TG020503,Doufelgou,Kara,44.35382615,9.804723,1.10028149,4.40200445805787,399.7318888399184
Baghan,TG020201,Bassar,Kara,473.15921301,8.9820075,0.56207524,39.014503448265266,316.804826216016
Bago,TG010403,Tchamba,Centrale,367.14003544,8.4394075,1.35288278,39.20904448807481,248.99350922140243
Bagou,TG051501,Tandjoare,Savanes,28.84272315,10.673332,0.03529779,27.92456909802339,512.4510341867193
Baguida,TG030303,Golfe,Maritime,44.69271769,6.1828365,1.3374773,1.6581723158046076,13.982253027195192
Balanka,TG010404,Tchamba,Centrale,69.73358672,8.8621745,1.60037407,12.837801000967463,298.348062466536
Bangeli,TG020202,Bassar,Kara,207.41211323,9.408098,0.63594437,19.99760832820471,361.341829056248
Bapure,TG020401,Dankpen,Kara,245.63003314,9.52316,0.58563667,18.334100045593537,374.86650860265087
Barkoissi,TG051401,Oti,Savanes,51.32388177,10.584106,0.32986982,29.352455253590605,495.48710249605085
Bassar,TG020203,Bassar,Kara,1285.57790891,9.210879,0.85800527,10.11790916428171,336.1487896040007
Biankouri,TG051701,Cinkasse,Savanes,36.75505652,11.024749,0.05302916,7.145667185616896,549.6891180743324
Bidjenga,TG051601,Tone,Savanes,42.91778032,10.6997645,0.30357958,21.130681023505833,508.6056743150727
Bitchabe,TG020204,Bassar,Kara,150.30261516,9.3062595,0.5921063,21.315060273670145,351.17176635301655
Blitta-Gare,TG010104,Blitta,Centrale,107.69203187,8.3300805,0.97934442,3.355023413089028,237.82241959607458
Blitta Village,TG010103,Blitta,Centrale,62.74797698,8.3272415,1.02893618,2.6205034164338703,236.97808333946605
Boade,TG051702,Cinkasse,Savanes,25.04098877,11.108355,-0.05601728,8.487333856653565,561.5743048421444
Bodjonde,TG010303,Sotouboua,Centrale,57.49714644,8.442927,1.03279313,11.309460653837803,249.69576530967
Bogou,TG051502,Tandjoare,Savanes,57.52850037,10.649995,0.14981096,24.30007835920366,506.8743124222987
Bohou,TG020703,Kozah,Kara,17.59177619,9.596143,1.16468957,5.716202080637282,376.49989683099045
Bolou Kpeta,TG030803,Zio,Maritime,75.17100293,6.44595,1.12974679,9.57917513143386,29.457201847985413
Bombouaka,TG051503,Tandjoare,Savanes,64.00603523,10.717816,0.22336043,16.217761950017692,512.3818924424338
Borgou,TG051301,Kpendjal,Savanes,630.94795851,10.762763,0.62208454,47.128527385913785,509.7444568438475
Boufale,TG020301,Binah,Kara,55.44773884,9.8547775,1.32313799,25.584570358247287,405.2434043756322
Boulade,TG020103,Assoli,Kara,71.13673046,9.401495,1.21946721,5.890740032869932,354.9294636277289
Boulogou,TG051504,Tandjoare,Savanes,39.50900768,10.642865,0.27392014,25.558110729185117,503.1013612317769
Boulohou,TG010201,Plaine du Mo,Centrale,343.72523994,8.6852175,0.66243437,37.01874406373082,282.3314727103758
Cinkasse,TG051703,Cinkasse,Savanes,34.0791149,11.0828045,0.04032119,0.571590639728612,556.2631880113438
Dagbati,TG030603,Vo,Maritime,96.54854893,6.487658,1.5049104,13.719433278061608,46.036397165882
Dako/Daoude,TG020104,Assoli,Kara,250.51482682,9.3555415,1.05143997,21.153270911392493,350.30682437146936
Dalave,TG030804,Zio,Maritime,103.47654966,6.3419855,1.27370846,6.764451621070647,17.909206095347656
Dalia,TG040603,Haho,Plateaux,158.84354598,6.817003,1.18224255,15.133153378056093,69.14665669088004
Danyi-Kakpa,TG040403,Danyi,Plateaux,88.41113515,7.1625165,0.64541436,10.068211582553385,124.2319894155708
