prefecture,dist_agence_med_canton_km,dist_agence_max_canton_km,operateur
Agou,24.891491384211385,27.171876121916387,Moov
Agoè-Nyivé,4.81044220527468,10.045563297266552,Moov
Akébou,42.86561323937557,58.972326432940626,Moov
Amou,28.45308336059242,43.053107939016,Moov
Anié,29.33108240043312,44.323625595968046,Moov
Assoli,25.966686379548527,31.188658904055604,Moov
Avé,9.046496001398713,18.60708685867006,Moov
Bas-Mono,47.54117577749644,52.53159782498266,Moov
Bassar,22.711694043942764,39.299582913593014,Moov
Binah,28.398104631052988,45.66112819239157,Moov
Blitta,28.004647169493754,54.86218242563255,Moov
Cinkassé,12.126069258496356,15.558530811383461,Moov
Dankpen,53.74384127468937,84.79501321935183,Moov
Danyi,15.617529328499781,17.858601282673696,Moov
Doufelgou,34.67609056329397,47.508923873121645,Moov
Est-Mono,46.46513526590421,59.66972483571848,Moov
Golfe,0.7236541588543514,4.289107045675488,Moov
Haho,17.850096136084737,32.00191240385156,Moov
Kloto,10.610321024606485,13.385424297616186,Moov
Kozah,12.16424815046287,20.925024691863143,Moov
Kpendjal,48.24103201532038,65.69785594660287,Moov
Kpendjal-Ouest,26.67203945469034,40.88516017880487,Moov
Kpélé,16.03858890455372,23.219213407152882,Moov
Kéran,63.35116678257711,77.48566668071504,Moov
Lacs,43.86267943803296,46.07203022527735,Moov
Moyen-Mono,48.64124751698298,63.25196544706801,Moov
Mô,45.06820382390871,55.653738682519375,Moov
Ogou,37.92076075427669,54.980557816134564,Moov
Oti,50.423085826097505,80.21253318938213,Moov
Oti-Sud,84.75282477791635,93.13727132400852,Moov
Sotouboua,21.207340883926076,33.91012928513444,Moov
Tandjoaré,26.962202732959923,40.65152859281489,Moov
Tchamba,41.89971496418452,56.46966890220497,Moov
Tchaoudjo,16.05008089644138,33.46048563638676,Moov
Tône,14.531110214109544,23.616819639253695,Moov
Vo,26.947806837019925,39.564393449208,Moov
Wawa,44.292257063667115,57.69174096203149,Moov
Yoto,35.95064700229535,49.696264434455124,Moov
Zio,15.853538595172793,29.048059445235083,Moov
Agou,15.770623085205145,24.857394699839155,Togocom
Agoè-Nyivé,0.9358615626126938,1.7683473717588458,Togocom
Akébou,42.834863877232365,58.836817595219514,Togocom
Amou,24.921695515660392,31.406731173973018,Togocom
Anié,29.770067616378533,44.611233136889,Togocom
Assoli,11.267560669815081,21.153235107685227,Togocom
Avé,8.854703472565632,18.452991426335007,Togocom
Bas-Mono,6.57553117557123,12.947365059500413,Togocom
Bassar,10.11790916428171,39.014503448265266,Togocom
Binah,24.869389893742316,30.117349125398054,Togocom
Blitta,28.265908420262384,55.32595492724701,Togocom
Cinkassé,9.847131269610644,17.76583123573893,Togocom
Dankpen,20.540853017853937,34.921362353312006,Togocom
Danyi,15.652317789470285,17.891047556705985,Togocom
Doufelgou,13.858375352227641,22.72033324191353,Togocom
Est-Mono,46.41866134490819,55.644377642565836,Togocom
Golfe,1.5000623654956498,5.228614462889338,Togocom
Haho,14.276062648225173,18.916952406382023,Togocom
Kloto,11.16364846021812,14.182576163852046,Togocom
Kozah,12.023420351625994,19.640057186024187,Togocom
Kpendjal,47.12855418086154,61.59334235354387,Togocom
Kpendjal-Ouest,26.781373566751725,41.18476928467223,Togocom
Kpélé,16.028804658734742,23.24136589961752,Togocom
Kéran,20.981802065378464,29.189477099538852,Togocom
Lacs,19.838751908438237,28.57253440826815,Togocom
Moyen-Mono,23.16649555991534,38.73914901831016,Togocom
Mô,44.817935590358864,55.39150786602518,Togocom
Ogou,18.372030026240505,44.193003634983626,Togocom
Oti,19.90465718217662,31.117702215677447,Togocom
Oti-Sud,22.035723108007836,33.58087382837212,Togocom
Sotouboua,21.084373154396754,33.83477325409765,Togocom
Tandjoaré,25.558086562035975,36.423534083861846,Togocom
Tchamba,23.822759856424174,39.20901599361531,Togocom
Tchaoudjo,15.372777860819653,19.64840329000712,Togocom
Tône,14.407170415503737,23.414612247265143,Togocom
Vo,17.063404624625207,25.391735143195735,Togocom
Wawa,44.51239017539276,57.7265639167123,Togocom
Yoto,23.05378548279854,29.30547716351687,Togocom
Zio,12.059744771745788,24.80620162688017,Togocom
