region,prefecture,commune,population,population_partagee_avec,agences,agences_actives,agences_moov,agences_togocom,data_centers,points_mm,mm_moov,mm_togocom,mm_operateur_inconnu,population_fiable,hab_par_point_mm,points_mm_pour_10k_hab,dist_agence_km,agences_pour_100k_hab,D1_deficit_mm,D2_deficit_agences,D3_eloignement,D4_enjeu_demographique,DCPI,DCPI_rang,n_D1_deficit_mm,n_D2_deficit_agences,n_D3_eloignement,n_D4_enjeu_demographique,rang_DCPI
Savanes,Kpendjal,Kpendjal 2,40462,,0,0,0,0,0,5,2,4,1,True,8092.4,1.2357273491176908,44.59788594363024,0.0,8092.4,-0.0,44.59788594363024,40462,76.25327312046603,77.47863247863248,100.0,100.0,77.86379956025897,8.936616152006486,1
Centrale,Blitta,Blitta 3,45218,,0,0,0,0,0,6,3,6,0,True,7536.333333333333,1.3269052147374938,29.049851655006517,0.0,7536.333333333333,-0.0,29.049851655006517,45218,67.57882124248053,76.7948717948718,93.00743267563695,100.0,50.44331093460285,10.32881853069373,2
Centrale,Mô,Mô 2,21926,,0,0,0,0,0,7,2,7,0,True,3132.285714285714,3.192556781902764,57.149609880997005,0.0,3132.285714285714,-0.0,57.149609880997005,21926,61.990022611366754,73.2905982905983,37.626304257177644,100.0,100.0,3.510656671067306,3
Savanes,Kpendjal,Kpendjal 1,47903,,0,0,0,0,0,36,25,30,1,True,1330.638888888889,7.5151869402751394,54.168312923010255,0.0,1330.638888888889,-0.0,54.168312923010255,47903,55.399655090296214,78.11965811965811,14.97050149735461,100.0,94.74218941065796,11.114786442126709,4
Centrale,Blitta,Blitta 2,46515,,0,0,0,0,0,9,6,7,1,True,5168.333333333333,1.9348597226701063,19.077875046002774,0.0,5168.333333333333,-0.0,19.077875046002774,46515,54.32479665925561,71.7094017094017,63.22970921785305,100.0,32.856748793910526,10.708483477110331,5
Centrale,Mô,Mô 1,30522,,0,0,0,0,0,25,8,19,6,True,1220.88,8.190813183932901,51.3499197230622,0.0,1220.88,-0.0,51.3499197230622,30522,52.72538720976581,71.19658119658119,13.590277747199645,100.0,89.77167563076823,6.026924889569313,6
Plateaux,Est-Mono,Est-Mono 2,101866,,0,0,0,0,0,99,65,85,5,True,1028.949494949495,9.718649991164863,42.34810154049558,0.0,1028.949494949495,-0.0,42.34810154049558,101866,52.209269624552185,79.74358974358974,11.176741639722135,100.0,73.89608335310663,26.911131471794437,7
Plateaux,Wawa,Wawa 1,51187,,0,0,0,0,0,172,114,163,4,True,297.5988372093023,33.60228182937074,51.85604935018193,0.0,297.5988372093023,-0.0,51.85604935018193,51187,50.67528133953517,56.70940170940171,1.9799689890228855,100.0,90.66428503887191,12.076096915551627,8
Plateaux,Akébou,Akébou 1,44196,,0,0,0,0,0,63,36,50,12,True,701.5238095238095,14.254683681781156,46.23227231213228,0.0,701.5238095238095,-0.0,46.23227231213228,44196,49.31028478292229,67.94871794871796,7.0593465748651205,100.0,80.74620076902326,10.029653091034698,9
Plateaux,Wawa,Wawa 3,29699,,0,0,0,0,0,56,39,54,0,True,530.3392857142857,18.855853732448903,48.89259000045745,0.0,530.3392857142857,-0.0,48.89259000045745,29699,48.98869324977844,59.01709401709401,4.906692263103118,100.0,85.43793282718617,5.7860118202548465,10
Plateaux,Akébou,Akébou 2,29634,,0,0,0,0,0,24,18,17,4,True,1234.75,8.098805426199636,41.24434983140416,0.0,1234.75,-0.0,41.24434983140416,29634,48.27018219605736,70.04273504273505,13.764693720324416,100.0,71.94950858855042,5.766984664112149,11
Plateaux,Ogou,Ogou 4,29048,,0,0,0,0,0,21,20,13,0,True,1383.2380952380952,7.229413384742496,37.64738499554813,0.0,1383.2380952380952,-0.0,37.64738499554813,29048,47.21014806094939,71.19658119658119,15.631939259502236,100.0,65.6059071057159,5.59544753334875,12
Plateaux,Anié,Anié 2,79413,,0,0,0,0,0,48,41,48,0,True,1654.4375,6.04435042121567,26.453470998436735,0.0,1654.4375,-0.0,26.453470998436735,79413,46.246483562984906,81.1111111111111,19.04228591360511,100.0,45.8643381242948,20.338566289148375,13
Plateaux,Wawa,Wawa 2,20414,,0,0,0,0,0,16,9,16,0,True,1275.875,7.837758401097286,36.9658532182199,0.0,1275.875,-0.0,36.9658532182199,20414,45.99915365703713,67.47863247863246,14.281842739412829,100.0,64.4039587435409,3.0680557466402436,14
Kara,Kéran,Kéran 3,30983,,0,0,0,0,0,10,8,9,0,True,3098.3,3.2275764128715747,19.8470570259502,0.0,3098.3,-0.0,19.8470570259502,30983,45.94537313415819,67.26495726495726,37.198932128159385,100.0,34.213276914487174,6.161871335442908,15
Plateaux,Moyen-Mono,Moyen-Mono 2,43708,,0,0,0,0,0,42,39,41,0,True,1040.6666666666667,9.609224855861628,33.848929782317605,0.0,1040.6666666666667,-0.0,33.848929782317605,43708,45.10132569511359,69.74358974358975,11.32408568495073,100.0,58.90695751273354,9.886803057224904,16
Plateaux,Amou,Amou 2,40016,,0,0,0,0,0,31,22,27,0,True,1290.8387096774193,7.746901239504199,31.920643411040135,0.0,1290.8387096774193,-0.0,31.920643411040135,40016,44.978774449526284,71.66666666666667,14.470012168752675,100.0,55.506234724946204,8.806060588319669,17
Kara,Kéran,Kéran 2,53305,,0,0,0,0,0,38,18,33,4,True,1402.7631578947369,7.128787168183097,28.759478963132146,0.0,1402.7631578947369,-0.0,28.759478963132146,53305,44.7852608070481,76.75213675213675,15.877467940365994,100.0,49.931210115493634,12.696089480324456,18
Centrale,Tchamba,Tchamba 2,64930,,0,0,0,0,0,85,54,76,9,True,763.8823529411765,13.091021099645772,32.15768327184225,0.0,763.8823529411765,-0.0,32.15768327184225,64930,44.55392664978126,73.16239316239316,7.843508509456576,100.0,55.92427784771621,16.099023175076184,19
