prefecture,frequence_top10,rang_median,rang_min,rang_max
Kpendjal,1.0,1.0,1.0,2.0
Mô,1.0,2.0,2.0,4.0
Est-Mono,1.0,3.0,2.0,7.0
Akébou,1.0,4.0,4.0,9.0
Yoto,1.0,6.0,3.0,9.0
Kpendjal-Ouest,0.9985,7.0,5.0,11.0
Tandjoaré,0.987,9.0,7.0,12.0
Wawa,0.9715,6.0,4.0,18.0
Blitta,0.9055,6.0,3.0,21.0
Amou,0.73,10.0,9.0,19.0
Dankpen,0.142,11.0,9.0,18.0
Golfe,0.1125,26.0,1.0,39.0
Binah,0.0375,14.0,10.0,25.0
Lacs,0.03,15.0,9.0,24.0
Agoè-Nyivé,0.027,25.0,3.0,36.0
Tchamba,0.0205,14.0,10.0,22.0
Vo,0.0155,15.0,9.0,24.0
Moyen-Mono,0.015,18.0,9.0,27.0
Anié,0.003,19.0,10.0,26.0
Zio,0.003,20.0,8.0,25.0
Oti-Sud,0.0015,14.0,10.0,21.0
Ogou,0.0,17.0,13.0,20.0
Tône,0.0,21.0,13.0,25.0
Danyi,0.0,23.0,13.0,31.0
Haho,0.0,23.0,18.0,25.0
Oti,0.0,26.0,21.0,29.0
Kéran,0.0,25.0,14.0,31.0
Kozah,0.0,27.0,19.0,33.0
Agou,0.0,29.0,26.0,32.0
Doufelgou,0.0,30.0,26.0,32.0
Bas-Mono,0.0,31.0,26.0,37.0
Sotouboua,0.0,34.0,25.0,37.0
Kloto,0.0,33.0,30.0,36.0
Tchaoudjo,0.0,33.0,29.0,38.0
Assoli,0.0,35.0,32.0,39.0
Cinkassé,0.0,36.0,34.0,39.0
Bassar,0.0,37.0,35.0,39.0
Avé,0.0,38.0,26.0,39.0
Kpélé,0.0,39.0,33.0,39.0
