id,etab_nom,type_infrastructure,operateur,actif,figure_dans,region,prefecture,commune,canton,lon,lat
d14f2d11960bbfb9,Agence Moov Sotouboua,Agence operateur,Moov,True,Moov,Centrale,Sotouboua,Sotouboua 1,Sotouboua,0.977073,8.560677
0b0a3365af82ee66,Agence Moov Sokode,Agence operateur,Moov,True,Moov,Centrale,Tchaoudjo,Tchaoudjo 1,Sokodè (Komah),1.138805,8.989586
eb0a5944faf39cd2,Agence Moov Blitta Sous L'Antenne,Agence operateur,Moov,True,Moov,Centrale,Blitta,Blitta 1,Blitta-Village,1.008393,8.339182
b7ac1a5116d0e37f,Moov Store Agoe,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Agoè-Nyivé,Agoè-Nyivé 1,Agoè-Nyivé,1.209334,6.221722
98b5a024ae669ae3,Moov Store Baguida,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 6,Baguida,1.337993,6.167402
af63083c61b3ffb2,Agence Moov Sagbado,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 7,Aflao-Sagbado,1.13712,6.19368
57ddd61669f22053,Agence Moov Store Telessou,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Agoè-Nyivé,Agoè-Nyivé 3,Vakpossito,1.174574,6.21351
b7f1d5094056c02b,Agence Moov Adidoadin,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 5,Aflao-Gakli,1.188301,6.199214
a63a766768b31d61,Agence Moov Nukafu,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 3,Bè-Ouest,1.234461,6.170216
f587d41c17d4de39,Agence Moov Be Kpota,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 1,Bè-Est,1.255283,6.157663
29fb625f073d88c1,Agence Moov Ocam,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 1,Bè-Est,1.24004,6.130493
6ed7f653edb62b4b,Agence Moov Hanoukope,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 4,Amoutivé,1.219527,6.135791
828e1893b74b604a,Agence Moov Teddycom Adakpame,Agence operateur,Moov,True,"Moov, Telecom",Maritime,Golfe,Golfe 1,Bè-Est,1.284802,6.15993
