region,prefecture,commune,population,population_partagee_avec,agences,agences_actives,agences_moov,agences_togocom,data_centers,points_mm,mm_moov,mm_togocom,mm_operateur_inconnu,population_fiable,hab_par_point_mm,points_mm_pour_10k_hab
Savanes,Tône,Tône 4,66577,,0,0,0,0,0,175,115,103,42,True,380.44,26.28535380086216
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,56459,,0,0,0,0,0,73,59,56,1,True,773.4109589041096,12.929736623036186
Savanes,Tône,Tône 1,211743,,2,2,1,1,0,946,661,892,34,True,223.82980972515855,44.676801594385644
Maritime,Golfe,Golfe 1,351550,,8,8,5,3,0,1256,1008,1093,110,True,279.89649681528664,35.72749253306784
Savanes,Cinkassé,Cinkassé 2,52967,,0,0,0,0,0,76,59,70,0,True,696.9342105263158,14.348556648479242
Savanes,Tône,Tône 2,50179,,0,0,0,0,0,76,61,60,2,True,660.25,15.145778114350623
Savanes,Tône,Tône 3,60276,,0,0,0,0,0,83,66,68,1,True,726.2168674698795,13.769991373017453
Maritime,Zio,Zio 3,67843,,1,1,0,1,0,142,116,125,9,True,477.7676056338028,20.930678183452976
Plateaux,Akébou,Akébou 1,44196,,0,0,0,0,0,63,36,50,12,True,701.5238095238095,14.254683681781156
Savanes,Cinkassé,Cinkassé 1,75992,,2,2,1,1,0,467,203,456,10,True,162.7237687366167,61.4538372460259
Maritime,Zio,Zio 1,307292,,4,4,2,2,0,508,427,421,38,True,604.9055118110236,16.53150749124611
Savanes,Oti-Sud,Oti-Sud 1,106052,,1,1,0,1,0,120,92,96,10,True,883.7666666666667,11.31520386225625
Savanes,Oti,Oti 1,54479,,1,1,0,1,0,208,126,192,13,True,261.9182692307692,38.1798491161732
Savanes,Tandjoaré,Tandjoaré 1,74692,,0,0,0,0,0,66,62,50,3,True,1131.6969696969697,8.836287688105822
Savanes,Tandjoaré,Tandjoaré 2,64175,,0,0,0,0,0,93,83,76,0,True,690.0537634408602,14.491624464355278
Maritime,Golfe,Golfe 3,52769,,2,2,1,1,1,281,221,260,14,True,187.7900355871886,53.25096173889973
Maritime,Agoè-Nyivé,Agoè-Nyivé 1,317255,,7,7,1,6,0,446,291,428,18,True,711.3340807174887,14.05809207104695
Maritime,Golfe,Golfe 5,169993,,6,6,2,4,1,1062,738,1025,37,True,160.06873822975518,62.47316065955657
Savanes,Oti,Oti 2,70369,,0,0,0,0,0,160,119,116,9,True,439.80625,22.737284883968794
Maritime,Zio,Zio 4,28704,,0,0,0,0,0,48,32,20,16,True,598.0,16.722408026755854
Savanes,Kpendjal,Kpendjal 2,40462,,0,0,0,0,0,5,2,4,1,True,8092.4,1.2357273491176908
Savanes,Kpendjal-Ouest,Kpendjal-Ouest 2,66871,,0,0,0,0,0,56,40,49,0,True,1194.125,8.37433267036533
Maritime,Yoto,Yoto 1,77353,,1,0,0,1,0,82,62,53,0,True,943.329268292683,10.6007523948651
Savanes,Kpendjal,Kpendjal 1,47903,,0,0,0,0,0,36,25,30,1,True,1330.638888888889,7.5151869402751394
Maritime,Yoto,Yoto 2,43412,,0,0,0,0,0,51,40,36,0,True,851.2156862745098,11.747903805399428
Maritime,Yoto,Yoto 3,54086,,0,0,0,0,0,27,24,13,0,True,2003.1851851851852,4.992049698628111
Maritime,Lacs,Lacs 3,108176,,0,0,0,0,0,443,397,397,22,True,244.18961625282168,40.951782280727706
Kara,Kéran,Kéran 1,44399,,2,2,0,2,0,91,39,62,28,True,487.9010989010989,20.495957116151267
Savanes,Oti-Sud,Oti-Sud 2,44324,,0,0,0,0,0,39,16,28,6,True,1136.5128205128206,8.798844869596607
Maritime,Avé,Avé 1,75044,,3,3,1,2,0,79,57,50,18,True,949.9240506329114,10.527157400991417
Maritime,Avé,Avé 2,36170,,0,0,0,0,0,49,36,32,11,True,738.1632653061224,13.547138512579485
Maritime,Agoè-Nyivé,Agoè-Nyivé 6,110194,,1,1,0,1,0,297,196,289,7,True,371.023569023569,26.95246565148738
Maritime,Agoè-Nyivé,Agoè-Nyivé 5,125097,,2,2,0,2,0,97,81,94,2,True,1289.659793814433,7.753982909262413
Maritime,Zio,Zio 2,96193,,0,0,0,0,0,81,55,57,19,True,1187.567901234568,8.420571143430395
Maritime,Golfe,Golfe 6,181561,,2,2,1,1,0,482,353,431,38,True,376.68257261410787,26.54755151161318
Centrale,Tchamba,Tchamba 1,82451,,1,1,0,1,0,52,30,45,6,True,1585.5961538461538,6.30677614583207
Kara,Bassar,Bassar 1,65059,,2,2,1,1,0,273,78,136,136,True,238.3113553113553,41.96191149571927
Plateaux,Haho,Haho 1,119929,,1,1,1,0,0,187,156,158,20,True,641.3315508021391,15.592558930700665
Plateaux,Ogou,Ogou 1,116301,,0,0,0,0,0,271,147,196,31,True,429.1549815498155,23.301605317237172
Maritime,Vo,Vo 2,24396,,0,0,0,0,0,52,48,26,3,True,469.15384615384613,21.31496966715855
Kara,Kozah,Kozah 1,193625,,2,2,1,1,0,1366,782,1315,46,True,141.7459736456808,70.54874112330536
Maritime,Golfe,Golfe 4,155842,,3,3,1,2,1,809,665,744,43,True,192.63535228677378,51.911551443128296
Maritime,Bas-Mono,Bas-Mono 1,55382,,2,1,0,2,0,149,144,112,0,True,371.69127516778525,26.904048246722763
Maritime,Vo,Vo 4,46499,,0,0,0,0,0,113,110,87,3,True,411.49557522123894,24.30159788382546
Maritime,Lacs,Lacs 2,42855,,0,0,0,0,0,40,30,26,5,True,1071.375,9.3338000233345
Maritime,Bas-Mono,Bas-Mono 2,39478,,0,0,0,0,0,34,30,26,0,True,1161.1176470588234,8.612391711839505
Maritime,Vo,Vo 1,88865,,0,0,0,0,0,211,199,149,10,True,421.1611374407583,23.74388116806392
Maritime,Vo,Vo 3,64651,,0,0,0,0,0,100,97,71,2,True,646.51,15.467664846638103
Kara,Assoli,Assoli 2,9933,,0,0,0,0,0,31,15,29,2,True,320.4193548387097,31.209100976542835
Maritime,Lacs,Lacs 4,37222,,0,0,0,0,0,86,73,60,13,True,432.8139534883721,23.10461554994358
Maritime,Lacs,Lacs 1,52994,,0,0,0,0,0,172,142,141,16,True,308.1046511627907,32.45650450994452
Maritime,Golfe,Golfe 2,136153,,3,3,1,2,0,454,379,404,13,True,299.8964757709251,33.34483999618077
Kara,Kozah,Kozah 2,45704,,0,0,0,0,0,127,72,119,7,True,359.87401574803147,27.7875021879923
Kara,Kozah,Kozah 4,20654,,0,0,0,0,0,35,17,34,0,True,590.1142857142858,16.945870049385107
Kara,Dankpen,Dankpen 3,76652,,0,0,0,0,0,37,16,23,12,True,2071.675675675676,4.827010384595314
Kara,Kozah,Kozah 3,23755,,0,0,0,0,0,34,8,32,2,True,698.6764705882352,14.312776257629974
Plateaux,Danyi,Danyi 2,14420,,0,0,0,0,0,43,33,36,2,True,335.3488372093023,29.819694868238557
Kara,Kéran,Kéran 2,53305,,0,0,0,0,0,38,18,33,4,True,1402.7631578947369,7.128787168183097
Kara,Dankpen,Dankpen 1,76294,,1,1,0,1,0,122,69,98,19,True,625.360655737705,15.990772537814244
Kara,Kéran,Kéran 3,30983,,0,0,0,0,0,10,8,9,0,True,3098.3,3.2275764128715747
Kara,Binah,Binah 2,40160,,0,0,0,0,0,120,70,113,6,True,334.6666666666667,29.8804780876494
Kara,Dankpen,Dankpen 2,32716,,0,0,0,0,0,31,12,27,3,True,1055.3548387096773,9.475486000733586
Kara,Assoli,Assoli 3,16044,,0,0,0,0,0,28,8,23,5,True,573.0,17.452006980802793
Kara,Assoli,Assoli 1,40417,,1,1,0,1,0,169,69,155,11,True,239.15384615384616,41.814088131231905
Kara,Binah,Binah 1,44039,,0,0,0,0,0,92,59,89,2,True,478.6847826086956,20.890574263720794
Centrale,Mô,Mô 1,30522,,0,0,0,0,0,25,8,19,6,True,1220.88,8.190813183932901
Kara,Bassar,Bassar 2,36476,,0,0,0,0,0,54,22,31,22,True,675.4814814814815,14.804254852505757
Centrale,Mô,Mô 2,21926,,0,0,0,0,0,7,2,7,0,True,3132.285714285714,3.192556781902764
Centrale,Tchamba,Tchamba 3,53204,,1,1,0,1,0,68,49,64,4,True,782.4117647058823,12.780993910232313
Centrale,Tchamba,Tchamba 2,64930,,0,0,0,0,0,85,54,76,9,True,763.8823529411765,13.091021099645772
Centrale,Tchaoudjo,Tchaoudjo 1,177706,,4,4,1,3,0,1268,621,1225,38,True,140.14668769716087,71.3538091004243
Centrale,Tchaoudjo,Tchaoudjo 3,17484,,0,0,0,0,0,65,25,62,2,True,268.9846153846154,37.1768474033402
