FID,region,prefecture,commune,canton,operateur,operateur_unitaire,lon,lat
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aaf,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",Moov,0.303208,10.996652
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aaf,Savanes,Tône,Tône 4,Sanfatoute,"Moov, Togocom",Togocom,0.303208,10.996652
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.360059,10.717565
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab0,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.360059,10.717565
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.231485,10.87886
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.231485,10.87886
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab2,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.36035,10.717922
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab2,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.36035,10.717922
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab3,Maritime,Golfe,Golfe 1,Bè-Est,Nsp,Non renseigne,1.284553,6.171833
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab4,Savanes,Tône,Tône 1,Toaga,Togocom,Togocom,0.248957,10.885907
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab5,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Moov,0.360319,10.718124
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab5,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,"Moov, Togocom",Togocom,0.360319,10.718124
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab6,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Naki-Est,Togocom,Togocom,0.360171,10.718349
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab7,Savanes,Tône,Tône 1,Toaga,Togocom,Togocom,0.239261,10.882064
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab8,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",Moov,0.18641,11.006685
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab8,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,"Moov, Togocom",Togocom,0.18641,11.006685
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab9,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,"Moov, Togocom",Moov,0.409162,10.751848
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ab9,Savanes,Kpendjal-Ouest,Kpendjal-Ouest 1,Nayéga,"Moov, Togocom",Togocom,0.409162,10.751848
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6aba,Savanes,Tône,Tône 1,Dapaong,Togocom,Togocom,0.202022,10.865522
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abb,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.202053,10.865517
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abb,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.202053,10.865517
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abc,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.201782,10.865372
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abc,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.201782,10.865372
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abd,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.20137,10.866153
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abd,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.20137,10.866153
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abe,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.202688,10.864477
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abe,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.202688,10.864477
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abf,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.20263,10.864457
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6abf,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.20263,10.864457
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.19946,10.864713
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac0,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.19946,10.864713
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.20313,10.864867
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac1,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.20313,10.864867
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.203223,10.864973
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac2,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Togocom,0.203223,10.864973
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac3,Savanes,Cinkassé,Cinkassé 2,Nadjoundi,Moov,Moov,0.191929,11.012449
_mview_tel_agents_mobile_money.fid--4db96f1c_1a07ca73f53_6ac4,Savanes,Tône,Tône 1,Dapaong,"Moov, Togocom",Moov,0.19793,10.864122
