lon,lat,dist_km,dist_moov_km,dist_togocom_km
0.7452,6.5777,9.7,9.7,10.3
0.727,6.5957,10.8,10.8,10.8
1.3232,6.7427,1.4,10.3,1.4
1.3413,6.7428,3.3,10.4,3.3
1.3594,6.7428,5.2,10.4,5.2
1.3955,6.761,9.6,10.2,9.6
1.4136,6.7611,9.1,9.1,10.5
1.4317,6.7611,7.7,7.7,10.6
1.4136,6.7792,10.0,10.0,10.0
1.4317,6.7792,9.3,9.3,11.5
1.4856,6.8698,10.9,10.9,10.9
1.5037,6.8699,10.7,10.7,10.8
1.5218,6.8699,10.3,10.3,10.3
1.5399,6.87,10.2,10.2,10.2
1.558,6.8701,10.5,10.5,10.5
1.5761,6.8701,11.2,11.2,11.2
1.5942,6.8702,11.7,11.7,11.7
1.4856,6.8879,11.0,11.0,11.0
1.5037,6.888,12.6,12.6,12.7
1.5218,6.888,12.3,12.3,12.3
1.5399,6.8881,12.2,12.2,12.2
1.558,6.8881,12.5,12.5,12.5
1.5761,6.8882,13.0,13.0,13.0
1.5942,6.8882,13.7,13.7,13.7
1.4855,6.906,11.5,11.5,11.5
1.5036,6.9061,11.9,11.9,11.9
1.5217,6.9061,12.1,12.1,12.1
1.5398,6.9062,12.5,12.5,12.6
1.5579,6.9062,12.6,12.6,13.4
1.576,6.9063,12.2,12.2,12.9
1.5941,6.9063,12.1,12.1,12.6
1.5217,6.9242,10.1,10.1,10.1
1.5398,6.9243,10.5,10.5,10.7
1.5579,6.9243,10.7,10.7,11.7
1.576,6.9244,10.2,10.2,11.0
0.7975,6.9937,11.0,11.0,11.0
0.8156,6.9938,11.7,11.7,11.7
0.8337,6.9939,11.2,11.2,11.2
0.8518,6.994,11.0,11.0,11.0
0.7974,7.0118,10.5,10.5,10.5
0.8155,7.0119,12.4,12.4,12.4
0.8336,7.012,12.1,12.1,12.1
0.8517,7.012,10.7,10.8,10.8
0.8155,7.03,11.6,11.6,11.6
0.8335,7.03,10.8,10.8,10.8
0.8154,7.048,10.3,10.3,10.3
1.3943,7.1227,10.6,10.6,10.7
1.4124,7.1228,10.9,10.9,11.0
1.4305,7.1228,10.4,10.4,10.4
1.3942,7.1408,10.5,10.5,10.5
1.4123,7.1409,11.5,11.5,11.5
1.3942,7.1589,10.4,10.4,10.4
1.4123,7.159,11.2,11.2,11.2
1.3941,7.177,10.7,10.7,10.7
1.4122,7.177,11.2,11.2,11.2
1.394,7.1951,11.3,11.3,11.3
1.4122,7.1951,10.9,10.9,10.9
1.3759,7.2131,10.6,10.6,10.6
1.394,7.2131,12.2,12.2,12.2
1.4121,7.2132,10.2,10.2,10.2
1.3577,7.2311,10.7,10.7,10.7
1.3758,7.2312,10.7,12.0,10.7
1.3939,7.2312,11.1,11.9,11.1
1.249,7.2488,6.8,10.0,6.8
1.2671,7.2488,7.8,10.4,7.8
1.2852,7.2489,9.2,10.6,9.2
1.3757,7.2493,8.7,10.8,8.7
1.3939,7.2493,9.1,11.9,9.1
1.267,7.2669,9.5,10.0,9.5
1.3938,7.2674,7.3,10.4,7.3
